,0
0,Archaea; p__Crenarchaeota; c__MCG
1,Archaea; p__Crenarchaeota; c__Thaumarchaeota
2,Archaea; p__Euryarchaeota; c__Halobacteria
3,Archaea; p__Euryarchaeota; c__Methanobacteria
4,Archaea; p__Euryarchaeota; c__Methanomicrobia
5,Bacteria; p__; c__
6,Bacteria; p__AD3; c__JG37-AG-4
7,Bacteria; p__Acidobacteria; c__
8,Bacteria; p__Acidobacteria; c__Acidobacteria-5
9,Bacteria; p__Acidobacteria; c__Acidobacteria-6
10,Bacteria; p__Acidobacteria; c__Acidobacteriia
11,Bacteria; p__Acidobacteria; c__BPC102
12,Bacteria; p__Acidobacteria; c__DA052
13,Bacteria; p__Acidobacteria; c__EC1113
14,Bacteria; p__Acidobacteria; c__Holophagae
15,Bacteria; p__Acidobacteria; c__PAUC37f
16,Bacteria; p__Acidobacteria; c__RB25
17,Bacteria; p__Acidobacteria; c__S035
18,Bacteria; p__Acidobacteria; c__Solibacteres
19,Bacteria; p__Acidobacteria; c__Sva0725
20,Bacteria; p__Acidobacteria; c__TM1
21,Bacteria; p__Acidobacteria; c__[Chloracidobacteria]
22,Bacteria; p__Acidobacteria; c__iii1-8
23,Bacteria; p__Actinobacteria; c__Acidimicrobiia
24,Bacteria; p__Actinobacteria; c__Actinobacteria
25,Bacteria; p__Actinobacteria; c__Coriobacteriia
26,Bacteria; p__Actinobacteria; c__MB-A2-108
27,Bacteria; p__Actinobacteria; c__Nitriliruptoria
28,Bacteria; p__Actinobacteria; c__OPB41
29,Bacteria; p__Actinobacteria; c__Rubrobacteria
30,Bacteria; p__Actinobacteria; c__Thermoleophilia
31,Bacteria; p__Armatimonadetes; c__0319-6E2
32,Bacteria; p__Armatimonadetes; c__Armatimonadia
33,Bacteria; p__Armatimonadetes; c__Chthonomonadetes
34,Bacteria; p__Armatimonadetes; c__SHA-37
35,Bacteria; p__Armatimonadetes; c__SJA-176
36,Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]
37,Bacteria; p__BHI80-139; c__
38,Bacteria; p__BRC1; c__NPL-UPA2
39,Bacteria; p__BRC1; c__PRR-11
40,Bacteria; p__Bacteroidetes; c__At12OctB3
41,Bacteria; p__Bacteroidetes; c__Bacteroidia
42,Bacteria; p__Bacteroidetes; c__Cytophagia
43,Bacteria; p__Bacteroidetes; c__Flavobacteriia
44,Bacteria; p__Bacteroidetes; c__Sphingobacteriia
45,Bacteria; p__Bacteroidetes; c__VC2_1_Bac22
46,Bacteria; p__Bacteroidetes; c__[Rhodothermi]
47,Bacteria; p__Bacteroidetes; c__[Saprospirae]
48,Bacteria; p__Chlamydiae; c__Chlamydiia
49,Bacteria; p__Chlorobi; c__
50,Bacteria; p__Chlorobi; c__BSV26
51,Bacteria; p__Chlorobi; c__Ignavibacteria
52,Bacteria; p__Chlorobi; c__OPB56
53,Bacteria; p__Chlorobi; c__SJA-28
54,Bacteria; p__Chloroflexi; c__
55,Bacteria; p__Chloroflexi; c__Anaerolineae
56,Bacteria; p__Chloroflexi; c__C0119
57,Bacteria; p__Chloroflexi; c__Chloroflexi
58,Bacteria; p__Chloroflexi; c__Dehalococcoidetes
59,Bacteria; p__Chloroflexi; c__Ellin6529
60,Bacteria; p__Chloroflexi; c__Gitt-GS-136
61,Bacteria; p__Chloroflexi; c__Ktedonobacteria
62,Bacteria; p__Chloroflexi; c__P2-11E
63,Bacteria; p__Chloroflexi; c__S085
64,Bacteria; p__Chloroflexi; c__TK10
65,Bacteria; p__Chloroflexi; c__TK17
66,Bacteria; p__Chloroflexi; c__Thermomicrobia
67,Bacteria; p__Cyanobacteria; c__
68,Bacteria; p__Cyanobacteria; c__4C0d-2
69,Bacteria; p__Cyanobacteria; c__Chloroplast
70,Bacteria; p__Cyanobacteria; c__ML635J-21
71,Bacteria; p__Cyanobacteria; c__Nostocophycideae
72,Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae
73,Bacteria; p__Cyanobacteria; c__Synechococcophycideae
74,Bacteria; p__Elusimicrobia; c__
75,Bacteria; p__Elusimicrobia; c__Elusimicrobia
76,Bacteria; p__FBP; c__
77,Bacteria; p__FCPU426; c__
78,Bacteria; p__Fibrobacteres; c__Fibrobacteria
79,Bacteria; p__Fibrobacteres; c__TG3
80,Bacteria; p__Firmicutes; c__Bacilli
81,Bacteria; p__Firmicutes; c__Clostridia
82,Bacteria; p__Firmicutes; c__Erysipelotrichi
83,Bacteria; p__Fusobacteria; c__Fusobacteriia
84,Bacteria; p__GN02; c__BD1-5
85,Bacteria; p__GN04; c__GN15
86,Bacteria; p__Gemmatimonadetes; c__
87,Bacteria; p__Gemmatimonadetes; c__Gemm-1
88,Bacteria; p__Gemmatimonadetes; c__Gemm-2
89,Bacteria; p__Gemmatimonadetes; c__Gemm-3
90,Bacteria; p__Gemmatimonadetes; c__Gemm-5
91,Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes
92,Bacteria; p__Lentisphaerae; c__[Lentisphaeria]
93,Bacteria; p__NKB19; c__
94,Bacteria; p__NKB19; c__TSBW08
95,Bacteria; p__Nitrospirae; c__Nitrospira
96,Bacteria; p__OD1; c__SM2F11
97,Bacteria; p__OP11; c__OP11-2
98,Bacteria; p__OP8; c__
99,Bacteria; p__OP8; c__OP8_2
100,Bacteria; p__OP9; c__OPB46
101,Bacteria; p__Planctomycetes; c__
102,Bacteria; p__Planctomycetes; c__028H05-P-BN-P5
103,Bacteria; p__Planctomycetes; c__OM190
104,Bacteria; p__Planctomycetes; c__Phycisphaerae
105,Bacteria; p__Planctomycetes; c__Pla4
106,Bacteria; p__Planctomycetes; c__Planctomycetia
107,Bacteria; p__Planctomycetes; c__vadinHA49
108,Bacteria; p__Proteobacteria; c__
109,Bacteria; p__Proteobacteria; c__Alphaproteobacteria
110,Bacteria; p__Proteobacteria; c__Betaproteobacteria
111,Bacteria; p__Proteobacteria; c__Deltaproteobacteria
112,Bacteria; p__Proteobacteria; c__Epsilonproteobacteria
113,Bacteria; p__Proteobacteria; c__Gammaproteobacteria
114,Bacteria; p__Proteobacteria; c__TA18
115,Bacteria; p__SAR406; c__AB16
116,Bacteria; p__SBR1093; c__VHS-B5-50
117,Bacteria; p__SR1; c__
118,Bacteria; p__Spirochaetes; c__Spirochaetes
119,Bacteria; p__Spirochaetes; c__[Leptospirae]
120,Bacteria; p__Synergistetes; c__Synergistia
121,Bacteria; p__TM6; c__SBRH58
122,Bacteria; p__TM6; c__SJA-4
123,Bacteria; p__TM7; c__
124,Bacteria; p__TM7; c__TM7-1
125,Bacteria; p__TM7; c__TM7-3
126,Bacteria; p__Tenericutes; c__Mollicutes
127,Bacteria; p__Thermotogae; c__Thermotogae
128,Bacteria; p__Verrucomicrobia; c__
129,Bacteria; p__Verrucomicrobia; c__Opitutae
130,Bacteria; p__Verrucomicrobia; c__Verruco-5
131,Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae
132,Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]
133,Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]
134,Bacteria; p__Verrucomicrobia; c__[Spartobacteria]
135,Bacteria; p__WPS-2; c__
136,Bacteria; p__WS3; c__PRR-12
137,Bacteria; p__[Thermi]; c__Deinococci
